Date,Delhi,Mumbai,Chennai,Kolkata
01/04/19,72.86 ,78.43 ,75.62 ,74.88 
02/04/19,72.86 ,78.43 ,75.62 ,74.88 
03/04/19,72.86 ,78.43 ,75.62 ,74.88 
04/04/19,72.86 ,78.43 ,75.62 ,74.88 
05/04/19,72.91 ,78.48 ,75.67 ,74.93 
06/04/19,72.91 ,78.48 ,75.67 ,74.93 
07/04/19,72.85 ,78.42 ,75.61 ,74.87 
08/04/19,72.85 ,78.42 ,75.61 ,74.87 
09/04/19,72.80 ,78.37 ,75.56 ,74.82 
10/04/19,72.80 ,78.37 ,75.56 ,74.82 
11/04/19,72.80 ,78.37 ,75.56 ,74.82 
12/04/19,72.86 ,78.43 ,75.62 ,74.88 
13/04/19,72.86 ,78.43 ,75.62 ,74.88 
14/04/19,72.92 ,78.49 ,75.68 ,74.94 
15/04/19,72.98 ,78.55 ,75.75 ,75.00 
16/04/19,72.93 ,78.50 ,75.69 ,74.95 
17/04/19,72.93 ,78.50 ,75.69 ,74.95 
18/04/19,72.93 ,78.50 ,75.69 ,74.95 
19/04/19,73.00 ,78.57 ,75.77 ,75.02 
20/04/19,73.00 ,78.57 ,75.77 ,75.02 
21/04/19,72.95 ,78.52 ,75.71 ,74.97 
22/04/19,72.95 ,78.52 ,75.71 ,74.97 
23/04/19,72.95 ,78.52 ,75.71 ,74.97 
24/04/19,72.95 ,78.52 ,75.71 ,74.97 
25/04/19,73.02 ,78.59 ,75.79 ,75.04 
26/04/19,73.02 ,78.59 ,75.79 ,75.04 
27/04/19,73.08 ,78.65 ,75.85 ,75.10 
28/04/19,73.08 ,78.65 ,75.85 ,75.10 
29/04/19,73.08 ,78.65 ,75.85 ,75.10 
30/04/19,73.13 ,78.70 ,75.90 ,75.15 
01/05/19,73.13 ,78.70 ,75.90 ,75.15 
02/05/19,73.07 ,78.64 ,75.84 ,75.08 
03/05/19,73.07 ,78.64 ,75.84 ,75.08 
04/05/19,73.13 ,78.71 ,75.92 ,75.15 
05/05/19,73.07 ,78.66 ,75.87 ,75.11 
06/05/19,73.00 ,78.59 ,75.79 ,75.04 
07/05/19,73.00 ,78.59 ,75.79 ,75.04 
08/05/19,73.00 ,78.59 ,75.79 ,75.04 
09/05/19,72.84 ,78.44 ,75.63 ,74.88 
10/05/19,72.63 ,78.23 ,75.40 ,74.68 
11/05/19,72.15 ,77.75 ,74.90 ,74.21 
12/05/19,71.73 ,77.34 ,74.46 ,73.79 
13/05/19,71.43 ,77.04 ,74.14 ,73.50 
14/05/19,71.18 ,76.79 ,73.88 ,73.25 
15/05/19,71.18 ,76.79 ,73.88 ,73.25 
16/05/19,71.18 ,76.79 ,73.88 ,73.25 
17/05/19,71.10 ,76.71 ,73.79 ,73.17 
