Year/ Industry,Quarter,"Agriculture, Forestry and Fishing",Mining & Quarrying,Manufacturing,"Electricity, Gas, Water Supply & Other Utility",Construction,"Trade, Hotels, Transport, Communication and Services Related to Broadcasting","Financial, Real Estate and Professional Services","Public Administration, Defence and Other Services",Total Gross Value Added at Basic Price
2011-12,Q1,323222,64670,350857,44662,182219,330070,395102,225669,1916470
,Q2,270231,55463,329937,46631,189096,337631,407657,263657,1900303
,Q3,505545,65815,334727,47957,197079,351579,343065,245399,2091166
,Q4,402949,75087,394465,47418,208941,393836,385053,291257,2199007
2012-13,Q1,360094,75789,374606,54330,203182,394347,461070,263982,2187402
,Q2,302961,59899,395939,52471,202602,403846,479904,304587,2202207
,Q3,557597,70447,377768,54453,211963,412552,400489,271594,2356864
,Q4,454454,79707,424523,54095,231618,453240,435169,323412,2456220
2013-14,Q1,407713,70645,413131,62946,221810,427470,533978,303684,2441377
,Q2,350835,63145,424395,65066,224408,456946,585666,341392,2511852
,Q3,670113,74589,416194,64911,231690,480886,459327,308435,2706145
,Q4,497711,87415,459732,67231,243562,509165,490537,348424,2703778
2014-15,Q1,460964,95040,471159,69662,247541,508205,620774,334552,2807899
,Q2,404350,68894,476474,71641,246390,517595,695118,390144,2870607
,Q3,688923,72720,435195,70691,242325,514666,520847,394998,2940364
,Q4,539374,71822,495542,70264,242829,567130,526608,371841,2885410
2015-16,Q1,487463,89202,510270,80345,257820,554319,690702,371179,3050811
,Q2,411860,62948,513542,83635,240308,542097,774052,433096,3064217
,Q3,705018,70301,486748,78419,252284,558511,579758,442648,3173643
,Q4,571206,73802,554259,79253,255990,639436,586608,413144,3169971
2016-17,Q1,573092,81934,575997,88422,273538,607116,783003,417101,3400202
,Q2,485562,60518,575852,89213,262498,594624,874053,484122,3426442
,Q3,801318,76935,554950,88829,274360,619242,619110,503381,3538125
,Q4,658690,107421,626923,89245,270473,718175,635271,494233,3600431
2017-18,Q1,614682,89447,583784,106824,287451,672181,867582,492027,3713978
,Q2,544703,69310,633546,107304,280664,661102,944159,544308,3785096
,Q3,903485,86182,620420,103950,305759,694315,696275,573664,3984050
,Q4,734038,112849,708858,107023,324057,785108,698542,559522,4029998
2018-19,Q1,655799,98202,664844,113836,324955,758987,974229,565871,4156723
,Q2,560416,80476,692530,118456,314756,744890,1068600,623661,4203786
,Q3,924273,97355,673890,113804,345528,778223,785893,649806,4368772
,Q4,782358,113290,735502,110316,359041,860520,793409,656245,4410682
2019-20,Q1,712222,104945,694993,124751,350920,806915,1056866,637682,4489292
,Q2,608227,75826,687906,122547,325815,783108,1138695,723713,4465838
,Q3,1053034,92789,664294,115188,349232,821438,818382,760995,4675351
,Q4,883959,119543,728394,124030,358928,905193,828581,764128,4712757
2020-21,Q1,752768,61586,421746,118150,170611,424739,1010899,605507,3566006
,Q2,655053,62218,699930,118709,298505,702556,1072756,670348,4280075
