Region,Date,Urban Estimated Unemployment Rate (%),Urban Estimated Employed,Urban Estimated Labour Participation Rate (%),Rural Estimated Unemployment Rate (%),Rural Estimated Employed,Rural Estimated Labour Participation Rate (%),Oil RSP,
Delhi,31/05/19,12.31,5756475,44.17,12.56,169487,42.33,71.73,
Delhi,30/06/19,12.76,5550172,42.71,9.33,149076,35.74,70.37,
Delhi,31/07/19,14.68,5393091,42.34,11.07,166605,40.53,72.86,
Delhi,31/08/19,13.52,5552510,42.9,17.18,135407,35.21,72.01,
Delhi,30/09/19,20.59,5642253,47.36,12.5,166056,40.68,74.42,
Delhi,31/10/19,12.41,6030363,45.78,15.84,149511,37.9,72.92,
Delhi,30/11/19,16.11,5439600,43.02,11.11,178768,42.71,74.86,
Delhi,31/12/19,11.07,5718337,42.56,16.97,145671,37.08,75.14,
Delhi,31/01/20,22.45,5647493,48.09,13.48,157791,38.36,73.27,
Delhi,29/02/20,14.86,5708807,44.18,13.81,147500,35.84,71.89,
Delhi,31/03/20,17.09,5401392,42.82,15.18,152413,37.45,69.59,
Delhi,30/04/20,16.51,3003787,23.59,20.69,115487,30.21,69.59,
Delhi,31/05/20,45.78,2343783,28.28,22.76,129610,34.65,71.26,
Delhi,30/06/20,18.11,4306807,34.32,21.14,112108,29.22,80.43,
Maharashtra,31/05/19,6.08,16962574,38.3,3.67,23896858,47.11,77.34,
Maharashtra,30/06/19,6.46,17375053,39.3,4.34,23056511,45.69,76.06,
Maharashtra,31/07/19,6.35,17215677,38.81,3.66,24843750,48.8,78.48,
Maharashtra,31/08/19,7.57,16602767,37.84,3.76,26835389,52.67,77.67,
Maharashtra,30/09/19,7.6,17396398,39.58,4.4,25219281,49.74,80.08,
Maharashtra,31/10/19,7.51,17221991,39.05,3.81,24330249,47.61,78.54,
Maharashtra,30/11/19,7.6,17486683,39.61,3.68,24881383,48.53,80.51,
Maharashtra,31/12/19,7.83,16581144,37.57,3.03,26357625,50.98,80.79,
Maharashtra,31/01/20,6.67,16715470,37.32,3.8,25881398,50.36,78.88,
Maharashtra,29/02/20,5.34,17122782,37.61,4.24,25293535,49.36,77.56,
Maharashtra,31/03/20,6.34,17065830,37.8,5.38,23130976,45.6,75.30,
Maharashtra,30/04/20,14.99,12674451,30.86,25.28,15014802,37.42,76.31,
Maharashtra,31/05/20,15.92,12365754,30.38,16.89,18423447,41.21,76.31,
Maharashtra,30/06/20,10.01,16172690,37.04,9.4,23601016,48.34,87.19,
Tamil Nadu,31/05/19,0.89,11798080,37.31,0.97,15844698,49.44,74.46,
Tamil Nadu,30/06/19,1.56,12318745,39.16,0.92,16375303,50.99,73.10,
Tamil Nadu,31/07/19,3.18,12054414,38.89,6.01,16455928,53.94,75.66,
Tamil Nadu,31/08/19,9.53,11933093,41.13,2.91,16463931,52.17,74.80,
Tamil Nadu,30/09/19,1.86,11902824,37.76,1.71,14595441,45.62,77.36,
Tamil Nadu,31/10/19,1.13,12223948,38.42,1.46,15595647,48.55,75.72,
Tamil Nadu,30/11/19,2.65,11729952,37.38,2.46,16223430,50.95,77.83,
Tamil Nadu,31/12/19,8.05,12260389,41.29,3.73,15356938,48.8,78.12,
Tamil Nadu,31/01/20,2.05,11926995,37.64,1.18,14954646,46.23,76.09,
Tamil Nadu,29/02/20,3.31,11742101,37.48,1.17,15828488,48.86,74.68,
Tamil Nadu,31/03/20,6.46,10982178,36.17,6.36,15848590,51.56,72.28,
Tamil Nadu,30/04/20,45.55,4632967,26.17,53.19,5086200,33.05,72.28,
Tamil Nadu,31/05/20,25.95,5733921,23.77,38.73,5768342,28.6,75.54,
Tamil Nadu,30/06/20,24.93,7741005,31.6,2.06,10169115,31.49,83.63,
West Bengal,31/05/19,7.25,11306177,46.37,6.02,23452875,46.41,73.79,
West Bengal,30/06/19,7.38,10611498,43.51,5.85,25543465,50.36,72.63,
West Bengal,31/07/19,7.91,10779829,44.38,5.62,24857807,48.78,75.50,
West Bengal,31/08/19,7.27,11456493,46.77,5.58,24924827,48.79,74.71,
West Bengal,30/09/19,7.79,11158649,45.74,5.26,25610773,49.87,77.10,
West Bengal,31/10/19,7.83,10563686,43.25,6.78,24353018,48.09,75.57,
West Bengal,30/11/19,6.61,10768462,43.44,5.83,25630359,50,77.54,
West Bengal,31/12/19,7.24,11335696,45.97,5.79,24906239,48.47,77.79,
West Bengal,31/01/20,7.27,11208617,45.39,6.79,24612171,48.3,75.90,
West Bengal,29/02/20,7.55,10871168,44.09,3.78,26093009,49.51,74.53,
West Bengal,31/03/20,6.67,10806105,43.34,7.02,25097812,49.18,72.29,
West Bengal,30/04/20,15.63,9299466,41.2,18.32,17639370,39.27,73.30,
West Bengal,31/05/20,15.22,9240903,40.67,18.43,19115772,42.53,73.30,
West Bengal,30/06/20,9.86,9088931,37.57,4.94,21225887,40.44,82.10,
